date,bdi_code,ticker,company,type,market,currency,open,high,low,avg,close,best_buy,best_sell,trades,volume,turnover,isin
2025-01-09 00:00:00,96,VTRU3F,VITRUEDUCA,ON      NM,,R$,6.35,6.73,6.31,6.4,6.35,6.11,6.42,8,149,954.49,BRVTRUACNOR3
2025-01-09 00:00:00,96,BOBR4F,BOMBRIL,PN,,R$,1.93,2.06,1.88,1.94,1.88,1.88,1.99,2096,128893,250330.99,BRBOBRACNPR3
2025-01-09 00:00:00,96,CMIN3F,CSNMINERACAO,ON  EJ  N2,,R$,4.67,4.78,4.63,4.67,4.78,4.75,4.78,4214,58436,273276.5,BRCMINACNOR2
2025-01-09 00:00:00,96,EKTR3F,ELEKTRO,ON,,R$,43.01,43.01,43.01,43.01,43.01,43.53,51.61,1,1,43.01,BREKTRACNOR0
2025-01-09 00:00:00,96,ELET6F,ELETROBRAS,PNB ED  N1,,R$,37.92,38.21,37.7,38.02,37.92,37.92,38.09,821,8527,324246.42,BRELETACNPB7
2025-01-09 00:00:00,96,PSSA3F,PORTO SEGURO,ON  EJ  NM,,R$,36.51,36.83,36.2,36.55,36.45,36.45,36.83,1061,12047,440381.48,BRPSSAACNOR7
2025-01-09 00:00:00,96,QUAL3F,QUALICORP,ON      NM,,R$,1.56,1.58,1.5,1.53,1.54,1.51,1.54,401,5640,8674.02,BRQUALACNOR6
2025-01-09 00:00:00,96,VITT3F,VITTIA,ON  EJ  NM,,R$,5.15,5.47,5.15,5.25,5.25,5.22,5.36,42,596,3129.61,BRVITTACNOR4
2025-01-09 00:00:00,96,GPAR3F,CELGPAR,ON,,R$,29.41,29.41,29.41,29.41,29.41,26.71,38.99,2,5,147.05,BRGPARACNOR4
2025-01-09 00:00:00,96,HAGA3F,HAGA S/A,ON,,R$,1.84,2.0,1.8,1.86,1.8,1.79,1.8,12,143,266.41,BRHAGAACNOR7
